instance,band,scaling,sample_type,sample_index,min_energy,max_energy,slope,intercept
0,0,inverse_num_params,subsample,77.0,-75.72472560378105,-75.68032538857084,-135.94070339156463,-75.69632116698087
0,0,inverse_num_params,subsample,78.0,-75.71064033764262,-75.69203029710116,358.5540779388235,-75.71636245054829
0,0,inverse_num_params,subsample,79.0,-75.72232198481616,-75.68032538857084,-636.8336181672021,-75.67695930688946
0,0,inverse_num_params,subsample,80.0,-75.72472560378105,-75.68032538857084,-266.0840488380356,-75.69337776281195
0,0,inverse_num_params,subsample,81.0,-75.72472560378105,-75.69448023119612,-77.7783698528268,-75.70295249438736
0,0,inverse_num_params,subsample,82.0,-75.72472560378105,-75.68773771283301,-767.6351287987328,-75.67158593883903
0,0,inverse_num_params,subsample,83.0,-75.72472560378105,-75.68032538857084,-769.866587175129,-75.67271595424582
0,0,inverse_num_params,subsample,84.0,-75.72232198481616,-75.68773771283301,-58.562350155889334,-75.70071232416207
0,0,inverse_num_params,subsample,85.0,-75.71064033764262,-75.68032538857084,-133.86439882159226,-75.69634209062806
0,0,inverse_num_params,subsample,86.0,-75.72472560378105,-75.68032538857084,-49.227012180697336,-75.70076952055904
0,0,inverse_num_params,subsample,87.0,-75.71968309929453,-75.68773771283301,-42.217257628016135,-75.70013434844248
0,0,inverse_num_params,subsample,88.0,-75.72472560378105,-75.68032538857084,-641.4356421294258,-75.67609457611219
0,0,inverse_num_params,subsample,89.0,-75.71968309929453,-75.68773771283301,-427.1246630539712,-75.68490702441059
0,0,inverse_num_params,subsample,90.0,-75.72232198481616,-75.68032538857084,-308.239888669397,-75.68671058520957
0,0,inverse_num_params,subsample,91.0,-75.72232198481616,-75.69319604031449,-441.4800273877562,-75.68882527122791
0,0,inverse_num_params,subsample,92.0,-75.72472560378105,-75.69448023119612,-607.009565560514,-75.67970242529692
0,0,inverse_num_params,subsample,93.0,-75.72472560378105,-75.69319604031449,322.4717526154707,-75.71759872139202
0,0,inverse_num_params,subsample,94.0,-75.72472560378105,-75.68032538857084,-480.8473564149407,-75.68090821715641
0,0,inverse_num_params,subsample,95.0,-75.72472560378105,-75.68773771283301,-637.4804815550407,-75.67801203127479
0,0,inverse_num_params,subsample,96.0,-75.71968309929453,-75.68032538857084,-132.85208466201388,-75.69349669708903
0,0,inverse_num_params,subsample,97.0,-75.72472560378105,-75.68032538857084,-307.8841697799428,-75.6888911398437
0,0,inverse_num_params,subsample,98.0,-75.72472560378105,-75.68773771283301,-888.2747367510037,-75.66292422288754
0,0,inverse_num_params,subsample,99.0,-75.72472560378105,-75.68032538857084,-700.4661410386825,-75.67159155008623
